Park / Protected Area,Site,Latitude,Longitude,Years monitored,,,,,,Data type,Project report/data source (BC WSI project ID 6430)
,,,,2018-19,2019-20,2020-21,2021-22,2022-23,2024-25,,
Tplaqin / Enderby Cliffs Park,Enderby Cliffs,50.59,-119.0833,,x,,,,,LT,Paterson 2024
Kalamalka Lake park,Cougar Canyon,50.1806,-119.2751,x,,x,x,,,LT,Paterson 2024
Okanagan Mountain Park,Wildhorse Canyon,49.745,-119.6838,,x,,,,,LT,Paterson 2024
Okanagan Mountain Park,Okanagan Mountain,49.6741,-119.6092,x,,x,x,,,LT,Paterson 2024
Skaha Bluffs Park,Skaha - Great White,49.4424,-119.5619,,x,,,,,LT,Paterson 2024
Skaha Bluffs Park,Skaha - Fern Gully / Doctors Wall,49.4434,-119.5656,x,,x,x,x,,LT,Paterson 2024
Haynes Lease Ecological Reserve,Haynes Lease 11,49.094,-119.5226,x,,,,,,LT,Paterson 2024
Haynes Lease Ecological Reserve,Haynes Lease 21,49.0923,-119.5202,,x,,,,,LT,Paterson 2024
Haynes Lease Ecological Reserve,Haynes Lease 31,49.093,-119.5179,,,x,x,x,,LT,Paterson 2024
Skaha Bluffs Park,Gillies Creek Road Detector,49.4301,-119.5622,,,,,,x,ST,Skurikhina and Kellner 2025
Skaha Bluffs Park,Gillies Creek Open Forest Detector,49.4312,-119.5619,,,,,,x,ST,Skurikhina and Kellner 2025
Skaha Bluffs Park,Smythe Drive Spring Detector,49.4284,-119.5668,,,,,,x,ST,Skurikhina and Kellner 2025
